,,,,,,,,,,,
,Description,Item,Usage Count,"Purchase
Quantity",Unit Price,Subtotal,"Price(HKD)
[$]","Price(RMB)
[$]",Price(USD) [$],Link,Additional description
,Electrical Components,,,,,,,,,,
,PCB Board,,1,1,$54.86,$54.86,$54.86,$47.39,$7.00,https://jlcpcb.com/,
,Seeed Studio XIAO RP2040,,1,1,$28.94,$28.94,$28.94,$25.00,$3.69,https://item.taobao.com/item.htm?id=658626117798&spm=a312a.7700824.w4002-26059791966.9.60d933db6lhayb&skuId=5902864067685,
,Cherry MX Switches,,1,1,$23.15,$23.15,$23.15,$20.00,$2.95,https://item.taobao.com/item.htm?id=615897479067&mi_id=0000G49e9UiDHmvNbZuIxEqx0hhavdGOtj9aIAB91MIe1Xs&skuId=5076329578956&spm=a21xtw.29978518.0.0&xxc=shop,
,SSD1306 0.91 OLED 4pin 128x32,,1,1,$14.31,$14.31,$14.31,$12.36,$1.83,https://detail.tmall.com/item.htm?abbucket=10&id=617450807815&pisk=haVnhu_M-U1gsNB9ovmTOubTxOCvjU4bu0dpUXrGUuUYpYRK9Y7uccd-p9ZRrRqzfvnEvwGoUurEUun8JXaINu_-M7NnbFu47BRr4GfKoQlPDiCozING2kpenp1eQVosrBJrLuua74nZ8pRz4ckZu4REabrz7N0ou4REavJZbq3oaLkeTVRZP2oyYQke_N0Sb0lraulNS4iZ4blPy6zhP04-iJ8sbs9JaQPhOv0fGcRyZ5D-KmRxjMB6dxMuxvVOtng3Qr0r-u1XOXkuL-lUZifn_rwTYVqPmLxE3LJkcPaLzK6NvZ48KxEwHtPGSrEQF8AerJj7BSa_ohIPiGN_xPaDY9j5dceYW5YADwwg7-FgcC7Vli4gYREBbtf8Z8NASmnW4YIpSA3NyNbM3-ME525ASNvWzvusSmQGSK5ZLVgFM&rn=3f79f2344ea3bbee7ca7e121c52b7942&skuId=5074992704097&spm=a312a.7700824.w4011-23941273512.47.1fdd6dcbe1g9gy,
,Rotary Encoder EC11E Switch Vertical H20mm,,1,1,$3.36,$3.36,$3.36,$2.90,$0.43,https://detail.tmall.com/item.htm?abbucket=10&id=614080038092&pisk=hNdshEfvYFghm1fqL2bDZ8fgSs5vXnSV0EIA5MjTuAb4GpTJxZ5qmEQvGn-dgtnG_ItBk3gGucA2drTkA2oraZqgFbfu65FT0wId7m46wDhySFjczpXtdKPL3N73HSKABMeduMFTHiKA9MQlv5QY6sIKRZjdDsBADXhdoNFTXsCxRJQVyiEAMsILJZb1ksCvDe3CoMQOMsKvJ2_cyKRKqPLrkzj1SqPPCgLKKSenuNCPVFCzTWzc5EXbYsVtNMpwHC5p6D3O9UveXw1SGr_BFeCO5ncus1LJJKKFHSy9gsot5E8JyQeolXnBoe9kJ-ckGdKCaCYzSjDS2CYfthrZJYiJOB-CLfqqeBpDbExYKXRKeBLBUKemgCokLLR6sRh9n-czJyKHBFw2qOQh8muIR88cBwbC52gQn-XO-w5IR2wyo&rn=da8786ba5e99918c28a8c938c6b7e189&spm=a312a.7700824.w4011-23941273512.42.49ed6dcbJybH2l&skuId=4495430251556,
,1u Keycaps,,1,1,$11.58,$11.58,$11.58,$10.00,$1.48,https://item.taobao.com/item.htm?id=739962388435&spm=a312a.7700824.w4002-15015765193.11.7d6ea607QcT1D0&skuId=5107854577164,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Total,,$136.20,$117.65,$17.38,,
